			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
US 75 Northbound	1:10:00	Car	6932	100	44795.17	6.46	9724.6	1.4	39340.41	5.68			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6932	100	44834.67	6.47	9729.45	1.4	39379.25	5.68			Truck	5	N/A	39.5	7.9	4.85	0.97	38.85	7.77
US 75 Southbound	1:10:00	Car	6314	100	38272.64	6.06	3565.6	0.56	39316.81	6.23			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6314	100	38320.84	6.07	3568.95	0.57	39367.64	6.23			Truck	9	N/A	48.2	5.36	3.35	0.37	50.83	5.65
Entire System	1:15:00	Car	63997	98.35	483649	7.56	97965.16	1.53	292406.09	4.57			Bus	0	0	0	0	0	0	0	0			Rail	1075	1.65	10030.2	9.33	724.19	0.67	9762.09	9.08			Park and Ride	0	0	0	0	0	0	0	0			Total	65072	100	494459.41	7.6	98864.94	1.52	302584.34	4.65			Truck	19	N/A	780.3	41.07	175.58	9.24	416.07	21.9
Greenville Ave Northbound	1:15:00	Car	4904	100	12586.9	2.57	2998.01	0.61	6000.55	1.22			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4904	100	12599.4	2.57	3001.53	0.61	6005.94	1.22			Truck	7	N/A	12.5	1.79	3.52	0.5	5.39	0.77
Greenville Ave Southbound	1:15:00	Car	3045	100	7236	2.38	1309.89	0.43	3733.73	1.23			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	3045	100	7261.79	2.38	1314.95	0.43	3746.26	1.23			Truck	10	N/A	25.8	2.58	5.06	0.51	12.53	1.25
IH 635 Eastbound	1:15:00	Car	4440	100	21446.12	4.83	5708.38	1.29	18008.29	4.06			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	4440	100	21446.12	4.83	5708.38	1.29	18008.29	4.06			Truck	0	N/A	0	0	0	0	0	0
IH 635 Westbound	1:15:00	Car	2751	100	8993.11	3.27	545.05	0.2	9637.78	3.5			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2751	100	8993.11	3.27	545.05	0.2	9637.78	3.5			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	1:15:00	Car	788	100	2556	3.24	137.49	0.17	2782.92	3.53			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	788	100	2556	3.24	137.49	0.17	2782.92	3.53			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	1:15:00	Car	1103	100	3641.3	3.3	231.38	0.21	3890.83	3.53			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1103	100	3641.3	3.3	231.38	0.21	3890.83	3.53			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	1:15:00	Car	12169	100	19132.6	1.57	5352.83	0.44	9349.21	0.77			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	12169	100	19174.6	1.58	5366.87	0.44	9368.92	0.77			Truck	20	N/A	42	2.1	14.04	0.7	19.71	0.99
US 75 Frontage Rd Southbound	1:15:00	Car	11349	100	17552.92	1.55	4014.39	0.35	9003.19	0.79			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11349	100	17586.42	1.55	4020.89	0.35	9022.11	0.79			Truck	16	N/A	33.5	2.09	6.5	0.41	18.92	1.18
US 75 HOV Northbound	1:15:00	Car	104	100	548.2	5.27	13.01	0.13	565.1	5.43			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	104	100	548.2	5.27	13.01	0.13	565.1	5.43			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:15:00	Car	64	100	402.6	6.29	15.32	0.24	407.13	6.36			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	64	100	402.6	6.29	15.32	0.24	407.13	6.36			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:15:00	Car	7192	100	47167.1	6.56	10431.43	1.45	41204.53	5.73			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	7192	100	47208.9	6.56	10436.16	1.45	41246	5.73			Truck	6	N/A	41.8	6.97	4.73	0.79	41.47	6.91
US 75 Southbound	1:15:00	Car	6293	100	38915.12	6.18	3656.1	0.58	39941.98	6.35			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6293	100	38969.02	6.19	3659.82	0.58	39998.95	6.36			Truck	9	N/A	53.9	5.99	3.72	0.41	56.96	6.33
