			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance	
Facility	TimeStamp	Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)			Mode	Share (Travelers)	Percentage (%)	Total (Minutes)	Average (Minutes)	Total (Travelers-Minutes)	Average (Minutes)	Total (Travelers-Miles)	Average (Miles)
IH 635 Westbound	1:20:00	Car	2723	100	8955.21	3.29	543.61	0.2	9602.96	3.53			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	2723	100	8955.21	3.29	543.61	0.2	9602.96	3.53			Truck	0	N/A	0	0	0	0	0	0
SH 190 Eastbound	1:20:00	Car	839	100	2697	3.21	147.22	0.18	2935.19	3.5			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	839	100	2697	3.21	147.22	0.18	2935.19	3.5			Truck	0	N/A	0	0	0	0	0	0
SH 190 Westbound	1:20:00	Car	1103	100	3606.1	3.27	232.23	0.21	3850.13	3.49			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	1103	100	3606.1	3.27	232.23	0.21	3850.13	3.49			Truck	0	N/A	0	0	0	0	0	0
US 75 Frontage Rd Northbound	1:20:00	Car	12466	100	20182.5	1.62	5859.71	0.47	9721.82	0.78			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	12466	100	20212.3	1.62	5867.57	0.47	9737.52	0.78			Truck	15	N/A	29.8	1.99	7.86	0.52	15.7	1.05
US 75 Frontage Rd Southbound	1:20:00	Car	11266	100	17008.81	1.51	3897.4	0.35	8718.13	0.77			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	11266	100	17042.11	1.51	3904.71	0.35	8736.27	0.78			Truck	20	N/A	33.3	1.66	7.3	0.37	18.14	0.91
US 75 HOV Northbound	1:20:00	Car	114	100	657.8	5.77	16.55	0.15	669.93	5.88			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	114	100	657.8	5.77	16.55	0.15	669.93	5.88			Truck	0	N/A	0	0	0	0	0	0
US 75 HOV Southbound	1:20:00	Car	66	100	379.8	5.75	14.64	0.22	381.3	5.78			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	66	100	379.8	5.75	14.64	0.22	381.3	5.78			Truck	0	N/A	0	0	0	0	0	0
US 75 Northbound	1:20:00	Car	7577	100	49836.33	6.58	11319.58	1.49	43189.32	5.7			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	7577	100	49878.13	6.58	11324.38	1.49	43230.87	5.71			Truck	5	N/A	41.8	8.36	4.8	0.96	41.56	8.31
US 75 Southbound	1:20:00	Car	6372	100	39796.82	6.25	3807.24	0.6	40767.18	6.4			Bus	0	0	0	0	0	0	0	0			Rail	0	0	0	0	0	0	0	0			Park and Ride	0	0	0	0	0	0	0	0			Total	6372	100	39854.52	6.25	3810.77	0.6	40828.64	6.41			Truck	9	N/A	57.7	6.41	3.52	0.39	61.46	6.83
Entire System	1:25:00	Car	64118	98.27	497006.06	7.75	108681.59	1.7	297145.38	4.63			Bus	0	0	0	0	0	0	0	0			Rail	1128	1.73	10978.51	9.73	754.92	0.67	10708.78	9.49			Park and Ride	0	0	0	0	0	0	0	0			Total	65246	100	508793.88	7.8	109626.09	1.68	308284.03	4.72			Truck	21	N/A	809.3	38.54	189.59	9.03	429.97	20.47
